Name,Tags,Description,Start Date,End Date
Week 1,Not Started,Two motivating applications; selected review; introduction to greedy algorithms; a scheduling application; Prim's MST algorithm.,,
Week 2,Not Started,Kruskal's MST algorithm and applications to clustering; advanced union-find (optional).,,
Week 3,Not Started,Huffman codes; introduction to dynamic programming.,,
Week 4,Not Started,"Advanced dynamic programming: the knapsack problem, sequence alignment, and optimal binary search trees.",,
