Name,Reviewed,Class,Type,Materials,Created
Chapter 13 Linear Factor Models,No,deep learning,Study note,http://www.deeplearningbook.org/contents/linear_factors.html,"Jan 05, 2020 5:45 PM"
Chapter 14 Autoencoders,No,deep learning,Study note,http://www.deeplearningbook.org/contents/autoencoders.html,"Jan 05, 2020 5:45 PM"
Chapter 15 Representation Learning,No,deep learning,Study note,http://www.deeplearningbook.org/contents/representation.html,"Jan 05, 2020 5:45 PM"
Chapter 16 Structured Probabilistic Models for Deep Learning,No,deep learning,Study note,http://www.deeplearningbook.org/contents/graphical_models.html,"Jan 05, 2020 5:45 PM"
Chapter 17 Monte Carlo Methods,No,deep learning,Study note,http://www.deeplearningbook.org/contents/monte_carlo.html,"Jan 05, 2020 5:45 PM"
Chapter 18 Confronting the Partition Function,No,deep learning,Study note,http://www.deeplearningbook.org/contents/partition.html,"Jan 05, 2020 5:45 PM"
Chapter 19 Approximate Inference,No,deep learning,Study note,http://www.deeplearningbook.org/contents/inference.html,"Jan 05, 2020 5:45 PM"
Chapter 20 Deep Generative Models,No,deep learning,Study note,http://www.deeplearningbook.org/contents/generative_models.html,"Jan 05, 2020 5:49 PM"
,No,,,,"Jan 05, 2020 5:45 PM"
