Name,Reviewed,Class,Type,Materials,Created,Column,Property
Chapter 2 Linear Algebra,No,deep learning,Study note,http://www.deeplearningbook.org/contents/linear_algebra.html,"Jan 05, 2020 5:19 PM",,
"Chapter 3
Probability and Information
Theory",No,deep learning,Study note,http://www.deeplearningbook.org/contents/prob.html,"Jan 05, 2020 5:25 PM",,
Chapter 4 Numerical Computation,No,deep learning,Study note,http://www.deeplearningbook.org/contents/numerical.html,"Jan 05, 2020 5:31 PM",,
Chapter 5 Machine Learning Basics,No,deep learning,Study note,http://www.deeplearningbook.org/contents/ml.html,"Jan 05, 2020 5:31 PM",,
,No,,,,"Jan 05, 2020 5:30 PM",,
