Name,Lecturer Slide,Status,Video Link
Why Study Algorithms?,https://github.com/SSQ/Coursera-Stanford-Divide-and-Conquer-Sorting-and-Searching-and-Randomized-Algorithms/blob/master/Lecture%20Slides/1.1-algo1-intro1.pdf,Completed,https://www.youtube.com/watch?v=yRM3sc57q0c&t=5s
Karatsuba Multiplication,https://github.com/SSQ/Coursera-Stanford-Divide-and-Conquer-Sorting-and-Searching-and-Randomized-Algorithms/blob/master/Lecture%20Slides/1.3-algo1-intro3_typed.pdf,Completed,https://www.youtube.com/watch?v=JCbZayFr9RE&t=1s
Integer Multiplication,https://github.com/SSQ/Coursera-Stanford-Divide-and-Conquer-Sorting-and-Searching-and-Randomized-Algorithms/blob/master/Lecture%20Slides/1.2-algo1-intro2_typed.pdf,Completed,https://www.youtube.com/watch?v=6u0Vaj4nn54&t=5s
Merge Sort: Motivation and Example,https://github.com/SSQ/Coursera-Stanford-Divide-and-Conquer-Sorting-and-Searching-and-Randomized-Algorithms/blob/master/Lecture%20Slides/1.5-slides_algo-merge1_typed.pdf,Completed,https://www.youtube.com/watch?v=kiyRJ7GVWro&t=372s
Merge Sort: Pseudocode,https://github.com/SSQ/Coursera-Stanford-Divide-and-Conquer-Sorting-and-Searching-and-Randomized-Algorithms/blob/master/Lecture%20Slides/1.6-slides_algo-merge2_typed.pdf,Completed,https://www.youtube.com/watch?v=rBd5w0rQaFo
Merge Sort: Analysis,https://github.com/SSQ/Coursera-Stanford-Divide-and-Conquer-Sorting-and-Searching-and-Randomized-Algorithms/blob/master/Lecture%20Slides/1.7-slides_algo-merge3_typed.pdf,Completed,https://youtu.be/8ArtRiTkYEw
Guiding Principles for Analysis of Algorithms,https://github.com/SSQ/Coursera-Stanford-Divide-and-Conquer-Sorting-and-Searching-and-Randomized-Algorithms/blob/master/Lecture%20Slides/1.8-slides_algo-guiding_typed.pdf,Completed,https://youtu.be/-yP11jqilwM
The Gist,https://github.com/SSQ/Coursera-Stanford-Divide-and-Conquer-Sorting-and-Searching-and-Randomized-Algorithms/blob/master/Lecture%20Slides/2.1-algo1-aa-gist_typed.pdf,Completed,https://youtu.be/l-cNaKGc-yY
Big-Oh Notation,https://github.com/SSQ/Coursera-Stanford-Divide-and-Conquer-Sorting-and-Searching-and-Randomized-Algorithms/blob/master/Lecture%20Slides/2.2-slides_algo-asymptotic1_typed.pdf,Completed,https://youtu.be/QfRSeibcugw
