Name,Reviewed,Class,Type,Materials,Created
Chapter 6 Deep Feedforward Networks,No,deep learning,Study note,http://www.deeplearningbook.org/contents/mlp.html,"Jan 05, 2020 5:37 PM"
Chapter 7 Regularization for Deep Learning,No,deep learning,Study note,http://www.deeplearningbook.org/contents/regularization.html,"Jan 05, 2020 5:37 PM"
Chapter 8 Optimization for Training Deep Models,No,deep learning,Study note,http://www.deeplearningbook.org/contents/optimization.html,"Jan 05, 2020 5:37 PM"
Chapter 9 Convolutional Networks,No,deep learning,Study note,http://www.deeplearningbook.org/contents/convnets.html,"Jan 05, 2020 5:40 PM"
Chapter 10 Sequence Modeling: Recurrent and Recursive Nets,No,deep learning,Study note,http://www.deeplearningbook.org/contents/rnn.html,"Jan 05, 2020 5:40 PM"
Chapter 11 Practical Methodology,No,deep learning,Study note,http://www.deeplearningbook.org/contents/guidelines.html,"Jan 05, 2020 5:41 PM"
Chapter 12 Applications,No,deep learning,Study note,http://www.deeplearningbook.org/contents/applications.html,"Jan 05, 2020 5:41 PM"
,No,,,,"Jan 05, 2020 5:37 PM"
